name,primary_role,facebook_url,linkedin_url,city_name,region_name,country_code,short_description
ETM Telecom,company,https://www.facebook.com/ETM-Telecom-114166100332755,https://www.linkedin.com/company/18770524,Paris,Ile-de-France,France,New generation of telecom company - providing VoIP services (IP Centrex) and much more to SME and Hotels.
M3i,company,,,,,,Music and games
MaRVis,company,,,,,,MedTech
Persona,company,,https://www.linkedin.com/company/personamedia/,Seoul,Seoul-t'ukpyolsi,South Korea,Persona brings the influential people to your business for social marketing.
Accessible Diagnostics,company,,https://www.linkedin.com/company/accessible-diagnotics/,Greenville,South Carolina,United States,Accessible Diagnostics provides medical diagnostic services.
ETT,company,,,Frisco,Texas,United States,ETT harnessed a portfolio of sector-disruptive companies that incorporate the value of collaborative innovation.
51haohuo.com,company,,,Beijing,Beijing,China,51haohuo.com provides legal compliance flexible employment solutions.
DB Systems,company,https://www.facebook.com/dbsystemsltd/,https://in.linkedin.com/company/db-systems-ltd,Tewkesbury,Gloucestershire,United Kingdom,"DB Systems supplies state-of-the-art audio visual and IT equipment, interactive software and temporary network infrastructure."
Blooders,company,https://www.facebook.com/somosblooders,https://www.linkedin.com/company/4827464,Monterrey,Nuevo Leon,Mexico,Blooders is a mobile application that enables its users to make online appointments and save up to 30 minutes in their next blood donation.
Lithion Recycling,company,,https://www.linkedin.com/company/recyclage-lithion/,Quebec,Quebec,Canada,Lithion is a Company that allows environmentally responsible and economically viable management of lithium-ion batteries.
Puro New Zealand,company,,,Auckland,Auckland,New Zealand,Puro New Zealand is a medical cannabis grower company.
GOCCO Japan,company,,,Ogaki,Gifu,Japan,Gocco is a variety of manufacturing innovations.
Ze Frank Games,company,http://www.facebook.com/pages/ze-frank/113546358931,,Los Angeles,California,United States,Ze Frank Games develops social games for social networks.
JGP Energy Partners,company,,,New York,New York,United States,JGP Energy Partners is a joint venture focused on creating a world class intermodal export and import distribution
YoloData INC.,company,https://www.facebook.com/yolodatame,https://www.linkedin.com/company/10250818,Ashburn,Virginia,United States,"YoloData, an Artificial Intelligence (AI) company offering a first-to-market prescriptive analytics platform."
Societal Innovation,company,https://www.facebook.com/niolabs,,Broomfield,Colorado,United States,"Creating, designing & developing innovations and inventions serving both societal and commercial market opportunities."
Geocko,company,https://www.facebook.com/geocko/,,Seattle,Washington,United States,"Geocko provides software solutions that enable to access, explore, and publish data."
Edge Case Games,company,https://www.facebook.com/FracturedSpace,,Guildford,Surrey,United Kingdom,"Edge Case Games Battles fractured Spaces team-based 5v5 battles hinge on teamwork strategise, work together to dominate the battlefield."
Mon Ami Poto,company,,,,,,Mon Ami Poto
Sanyu Education (Better Sun Education),company,,,Shanghai,Shanghai,China,Sanyu Education is a mid-to-high-end direct chain kindergarten group.
Lichu Business,company,,,Qingshan,Shandong,China,Lichu Business is a technology enterprise specializing in fourth-party payment service technology
Buckle,company,https://www.facebook.com/pg/GetBuckle/,https://www.linkedin.com/company/buckledup/,Atlanta,Georgia,United States,"Buckle is provides financial products and services to the shared economy,Beginning with insurance."
Lone Design Club,company,,https://www.linkedin.com/company/lonedesignclub/,London,England,United Kingdom,Lone Design Club is the result of emerging London fashion brands’ desire to actively take the reins of their small businesses.
Conversion Technology Japan,company,,,Tokyo,Tokyo,Japan,Conversion Technology is a Data and Tachonology Based company
The AirLoop,company,https://www.facebook.com/AirLoopTech,,Cupertino,California,United States,The AirLoop is a a group of young and highly-skilled international entrepreneurs.
Blued,company,https://www.facebook.com/bluedapp,https://www.linkedin.com/company/blued,Beijing,Beijing,China,Blued is a developer of a mobile based gay social app designed to connect with the network of guys.
Eagle Motorcycles,company,,,,,,"Motorcycle Rentals in Bullhead City, AZ"
BrightWind,company,,https://www.linkedin.com/company/brightwind/about/,Dublin,Dublin,Ireland,BrightWind operates as a renewable energy consultancy firm.
SmartFin,investor,,https://www.linkedin.com/company/smartfin-capital/,Mechelen,Antwerpen,Belgium,Investments in private European growth companies in technology
AgroIo,company,,,,,,AgroIo
Synergy 8,company,https://www.facebook.com/Synergy8/,https://www.linkedin.com/company-beta/3526978/,Brisbane,Queensland,Australia,Synergy 8 is a digital marketing software for small and medium businesses.
InBio,company,,,,,,Biotech
ALL WEST BANCORP,company,https://www.facebook.com/FinWiseBank/?ref=py_c,https://www.linkedin.com/company/finwise-bank/,Sandy,Utah,United States,"ALL WEST BANCORP  Is banking Service provider.
"
OrderMe,company,https://www.facebook.com/OrderMeApp,https://www.linkedin.com/company/orderme/,Jeddah,Makkah,Saudi Arabia,OrderMe integrates seamlessly into your existing POS so you start receiving customer orders in seconds.
HomesinUtah.net,company,,,,,,HomesinUtah.net
Jiufeng Medical,company,,,Nanjing,Jiangsu,China,Jiufeng Medical  is a remote imaging diagnostic platform
Jianxiang Hospital Group,company,,,Guangdong,Jilin,China,Jianxiang Hospital Group is a medical chain management enterprise.
Treemark Solutions,company,,,Delhi,Delhi,India,Treemark Solutions is a  fertility services Company.
Hackmania,company,https://www.facebook.com/ihackmania,https://www.linkedin.com/company/hackmania,Secunderabad,Andhra Pradesh,India,World's only Outcome Based Hackathon Company
Webduino,company,https://www.facebook.com/webduino,,Kaohsiung,T'ai-wan,Taiwan,Webduino provide that fastest way to be hands-on with the Internet of Things.
Premier Computing,company,,https://www.linkedin.com/company/premier-computing/,,,,Premier Computing
Webedia,company,https://www.facebook.com/webedia/,https://www.linkedin.com/company/webedia,Levallois-perret,Ile-de-France,France,Webedia is a web platform that provides users with celebrity news.
HitchPlanner,company,https://www.facebook.com/hitchplanner,https://www.linkedin.com/company/hitchplanner/about/,Singapore,Central Region,Singapore,"Marketplace, wedding planning tools"
Sneaker Villa,company,https://www.facebook.com/VILLA/,,Philadelphia,Pennsylvania,United States,Sneaker Villa operates as urban lifestyle retailers.
SpectrumOne,company,,,Stockholm,Stockholms Lan,Sweden,SpectrumOne is a powerful platform that places marketers to increase their ROI on sales and communication efforts.
Espaciel,company,,https://www.linkedin.com/company/espaciel-building-technology/,Lille,Nord-Pas-de-Calais,France,Espaciel has developed an innovative system of natural lighting.
WebEngineering,company,https://www.facebook.com/WebEngineering-286012344826855/,https://www.linkedin.com/company/webengineering/,Boulogne-billancourt,Ile-de-France,France,WebEngineering offers the most comprehensive online product and service offer for engineering jobs and services.
CertaSite,company,https://www.facebook.com/CertaSite/?modal=admin_todo_tour,https://www.linkedin.com/company/certasite/?viewAsMember=true,Indianapolis,Indiana,United States,CertaSite is a commercial fire protection and life safety company.
Crowd Asset,company,https://www.facebook.com/crowdasset/,https://www.linkedin.com/company/crowd-asset,Ulaanbaatar,Ulaanbaatar,Mongolia,Crowdfunding
Window Supply Company (WSC),company,,,Livingston,West Lothian,United Kingdom,Window Supply Company (WSC) is a company which manufactures and distributes window products.
Deva,company,,,Chihuahua,Chihuahua,Mexico,Deva is an artificial intelligence company.
Infimed,company,,,Lille,Nord-Pas-de-Calais,France,Infimed is a player specializing in the financial rental of medical equipment for healthcare professionals.
Code4Startup,company,https://www.facebook.com/code4startup,,Melbourne,Victoria,Australia,Code school for anyone who has an idea and want to build their own startup app. Learn to code by creating Real-life Startup projects
Unmetered Technologies,company,https://www.facebook.com/unmeteredtechnologies,,Dharamsala,Himachal Pradesh,India,"Unmetered Technologies, is the leading IT company offering its services globally"
Ventech,investor,https://www.facebook.com/ventechvc,http://www.linkedin.com/company/ventech,Paris,Ile-de-France,France,Ventech is a European & Chinese early-stage investment fund that invests in the digital economy.
Newvem,company,,,Tel Aviv,Tel Aviv,Israel,Newvem is a free SaaS solution that improves the effectiveness of cloud usage through data analytics.
Pocket HRMS,company,https://www.facebook.com/PocketHRMS/,https://www.linkedin.com/company/pocket-hrms/?viewAsMember=true,Mumbai,Maharashtra,India,Pocket HRMS is a leading cloud based HR Software with fully equipped offices and development centers across India
Zips Car Wash,company,https://www.facebook.com/zips3mincarwash/,,Little Rock,Arkansas,United States,Zips Car Wash has 80 premier automatic car wash locations.
LINK SNPPLY CHAIN,company,,https://www.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E9%93%BE%E5%93%81%E5%86%9C%E4%B8%9A%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Jiading,Shanghai,China,LINK SNPPLY CHAIN is a food supply chain service platform.
